variable,source,line,time,iter,latency,dataSource,cpu,node,index,map3D,xidx,yidx,zidx
m_z,LULESH_OMP.cc,2037,cd9e8dc075925,12,21,65,19,1,22216,0,0,0,0
m_y,LULESH_OMP.cc,2036,cd9e8dc15e737,12,21,1,7,1,8151,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8dc26824f,12,21,67,13,1,15869,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8dc492868,12,47,64,31,1,34606,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd9e8dc4adde7,12,34,0,23,1,25942,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8dc4efb9d,12,230,64,7,1,8590,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8dc4f4055,12,22,65,15,1,17220,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8dc578475,12,21,67,15,1,18348,0,0,0,0
m_dxx,LULESH_OMP.cc,2099,cd9e8dc7bb00b,12,27,65,2,0,2930,1,18,27,2
m_zd,LULESH_OMP.cc,2188,cd9e8dc8e5986,12,21,1,17,1,19903,0,0,0,0
m_delv_zeta,LULESH_OMP.cc,2347,cd9e8dcd310d2,12,21,3,11,1,10556,1,28,9,10
m_delv_zeta,LULESH_OMP.cc,2344,cd9e8dcd5e28c,12,21,3,24,0,24980,1,20,12,24
m_delv_zeta,LULESH_OMP.cc,2353,cd9e8dd0126c7,12,21,1,9,1,11128,1,24,27,10
m_z,LULESH_OMP.cc,1050,cd9e8ded949bd,13,29,67,7,1,8548,0,0,0,0
m_zd,LULESH_OMP.cc,1481,cd9e8df4eb763,13,30,17,6,0,8411,0,0,0,0
m_elemMass,LULESH_OMP.cc,1447,cd9e8df564333,13,32,67,8,0,9031,1,7,26,8
m_xd,LULESH_OMP.cc,2056,cd9e8e059dbbe,13,21,65,16,0,18574,0,0,0,0
m_yd,LULESH_OMP.cc,2057,cd9e8e068eb0c,13,21,1,23,1,25187,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd9e8e0972d3b,13,21,65,5,1,5923,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8e099fbd7,13,21,67,23,1,26654,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8e0a583ca,13,21,65,16,0,18014,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd9e8e0a7a173,13,21,67,14,0,15795,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd9e8e0b245e0,13,21,3,26,0,28950,0,0,0,0
m_volo,LULESH_OMP.cc,2042,cd9e8e0b62395,13,21,65,16,0,17070,1,14,21,16
m_zd,LULESH_OMP.cc,2058,cd9e8e0ebace9,13,21,3,29,1,33688,0,0,0,0
m_y,LULESH_OMP.cc,2150,cd9e8e13e3683,13,56,67,9,1,10750,0,0,0,0
m_delv_zeta,LULESH_OMP.cc,2347,cd9e8e167ae2b,13,21,3,7,1,6632,1,8,15,6
m_matElemlist,LULESH_OMP.cc,2280,cd9e8e1707ad2,13,21,67,23,1,24124,1,28,17,23
m_delv_zeta,LULESH_OMP.cc,2347,cd9e8e170845c,13,21,3,24,0,24092,1,28,16,23
m_delv_eta,LULESH_OMP.cc,2315,cd9e8e18a9b7a,13,22,66,20,0,21402,1,26,28,20
m_x,LULESH_OMP.cc,961,cd9e8e2b454f7,14,93,67,23,1,25454,0,0,0,0
m_x,LULESH_OMP.cc,961,cd9e8e2c462f8,14,35,3,29,1,32150,0,0,0,0
m_xd,LULESH_OMP.cc,1459,cd9e8e3e5c38c,14,23,17,14,0,16117,0,0,0,0
m_nodeElemStart,LULESH_OMP.cc,1565,cd9e8e4145002,14,32,67,18,0,20402,0,0,0,0
